date,content,region,importance,Epidemic_Policy,Economic_Policy,weight,type1,type2,comment,global
2020-03-13,国际足联在3月13日已经正式发布通知，宣布原定3月份以及4月份的国际足联指定的国家队比赛日所进行的比赛全部延期,阿根廷,3,1,0,0.5,隔离,体育赛事取消或延期,国际足联,1
2020-03-13,国际足联在3月13日已经正式发布通知，宣布原定3月份以及5月份的国际足联指定的国家队比赛日所进行的比赛全部延期,奥地利,3,1,0,0.5,隔离,体育赛事取消或延期,国际足联,1
2020-03-13,国际足联在3月13日已经正式发布通知，宣布原定3月份以及6月份的国际足联指定的国家队比赛日所进行的比赛全部延期,澳大利亚,3,1,0,0.5,隔离,体育赛事取消或延期,国际足联,1
2020-03-13,国际足联在3月13日已经正式发布通知，宣布原定3月份以及7月份的国际足联指定的国家队比赛日所进行的比赛全部延期,巴西,3,1,0,0.5,隔离,体育赛事取消或延期,国际足联,1
2020-03-13,国际足联在3月13日已经正式发布通知，宣布原定3月份以及8月份的国际足联指定的国家队比赛日所进行的比赛全部延期,比利时,3,1,0,0.5,隔离,体育赛事取消或延期,国际足联,1
2020-03-13,国际足联在3月13日已经正式发布通知，宣布原定3月份以及9月份的国际足联指定的国家队比赛日所进行的比赛全部延期,德国,3,1,0,0.5,隔离,体育赛事取消或延期,国际足联,1
2020-03-13,国际足联在3月13日已经正式发布通知，宣布原定3月份以及10月份的国际足联指定的国家队比赛日所进行的比赛全部延期,俄罗斯,3,1,0,0.5,隔离,体育赛事取消或延期,国际足联,1
2020-03-13,国际足联在3月13日已经正式发布通知，宣布原定3月份以及11月份的国际足联指定的国家队比赛日所进行的比赛全部延期,法国,3,1,0,0.5,隔离,体育赛事取消或延期,国际足联,1
2020-03-13,国际足联在3月13日已经正式发布通知，宣布原定3月份以及12月份的国际足联指定的国家队比赛日所进行的比赛全部延期,菲律宾,3,1,0,0.5,隔离,体育赛事取消或延期,国际足联,1
2020-03-13,国际足联在3月13日已经正式发布通知，宣布原定3月份以及13月份的国际足联指定的国家队比赛日所进行的比赛全部延期,韩国,3,1,0,0.5,隔离,体育赛事取消或延期,国际足联,1
2020-03-13,国际足联在3月13日已经正式发布通知，宣布原定3月份以及14月份的国际足联指定的国家队比赛日所进行的比赛全部延期,加拿大,3,1,0,0.5,隔离,体育赛事取消或延期,国际足联,1
2020-03-13,国际足联在3月13日已经正式发布通知，宣布原定3月份以及15月份的国际足联指定的国家队比赛日所进行的比赛全部延期,马来西亚,3,1,0,0.5,隔离,体育赛事取消或延期,国际足联,1
2020-03-13,国际足联在3月13日已经正式发布通知，宣布原定3月份以及16月份的国际足联指定的国家队比赛日所进行的比赛全部延期,美国,3,1,0,0.5,隔离,体育赛事取消或延期,国际足联,1
2020-03-13,国际足联在3月13日已经正式发布通知，宣布原定3月份以及17月份的国际足联指定的国家队比赛日所进行的比赛全部延期,挪威,3,1,0,0.5,隔离,体育赛事取消或延期,国际足联,1
2020-03-13,国际足联在3月13日已经正式发布通知，宣布原定3月份以及18月份的国际足联指定的国家队比赛日所进行的比赛全部延期,日本,3,1,0,0.5,隔离,体育赛事取消或延期,国际足联,1
2020-03-13,国际足联在3月13日已经正式发布通知，宣布原定3月份以及19月份的国际足联指定的国家队比赛日所进行的比赛全部延期,泰国,3,1,0,0.5,隔离,体育赛事取消或延期,国际足联,1
2020-03-13,国际足联在3月13日已经正式发布通知，宣布原定3月份以及20月份的国际足联指定的国家队比赛日所进行的比赛全部延期,西班牙,3,1,0,0.5,隔离,体育赛事取消或延期,国际足联,1
2020-03-13,国际足联在3月13日已经正式发布通知，宣布原定3月份以及21月份的国际足联指定的国家队比赛日所进行的比赛全部延期,香港,3,1,0,0.5,隔离,体育赛事取消或延期,国际足联,1
2020-03-13,国际足联在3月13日已经正式发布通知，宣布原定3月份以及22月份的国际足联指定的国家队比赛日所进行的比赛全部延期,新加坡,3,1,0,0.5,隔离,体育赛事取消或延期,国际足联,1
2020-03-13,国际足联在3月13日已经正式发布通知，宣布原定3月份以及23月份的国际足联指定的国家队比赛日所进行的比赛全部延期,新西兰,3,1,0,0.5,隔离,体育赛事取消或延期,国际足联,1
2020-03-13,国际足联在3月13日已经正式发布通知，宣布原定3月份以及24月份的国际足联指定的国家队比赛日所进行的比赛全部延期,以色列,3,1,0,0.5,隔离,体育赛事取消或延期,国际足联,1
2020-03-13,国际足联在3月13日已经正式发布通知，宣布原定3月份以及25月份的国际足联指定的国家队比赛日所进行的比赛全部延期,意大利,3,1,0,0.5,隔离,体育赛事取消或延期,国际足联,1
2020-03-13,国际足联在3月13日已经正式发布通知，宣布原定3月份以及26月份的国际足联指定的国家队比赛日所进行的比赛全部延期,印度,3,1,0,0.5,隔离,体育赛事取消或延期,国际足联,1
2020-03-13,国际足联在3月13日已经正式发布通知，宣布原定3月份以及27月份的国际足联指定的国家队比赛日所进行的比赛全部延期,印度尼西亚,3,1,0,0.5,隔离,体育赛事取消或延期,国际足联,1
2020-03-13,国际足联在3月13日已经正式发布通知，宣布原定3月份以及28月份的国际足联指定的国家队比赛日所进行的比赛全部延期,英国,3,1,0,0.5,隔离,体育赛事取消或延期,国际足联,1
2020-03-13,国际足联在3月13日已经正式发布通知，宣布原定3月份以及29月份的国际足联指定的国家队比赛日所进行的比赛全部延期,中国,3,1,0,0.5,隔离,体育赛事取消或延期,国际足联,1
2020-03-27,巴塞尔协议III标准执行时间推迟一年至2023年1月1日,阿根廷,3,0,1,0.5,经济,银行规则修改,巴塞尔委员会,1
2020-03-27,巴塞尔协议III标准执行时间推迟一年至2023年1月1日,奥地利,3,0,1,0.5,经济,银行规则修改,巴塞尔委员会,1
2020-03-27,巴塞尔协议III标准执行时间推迟一年至2023年1月1日,澳大利亚,3,0,1,0.5,经济,银行规则修改,巴塞尔委员会,1
2020-03-27,巴塞尔协议III标准执行时间推迟一年至2023年1月1日,巴西,3,0,1,0.5,经济,银行规则修改,巴塞尔委员会,1
